"var","module","VS","p.VS"
"earn_OC3_NaceP-S","turquoise",0.691729323308271,0.000728484529831453
"earn_OC4_NaceG-N","turquoise",0.619548872180451,0.00357585294441344
"earn_OC3_NaceB-F","turquoise",0.616541353383459,0.00378955558815761
"earn_OC1_NaceG-N","turquoise",0.615037593984962,0.00390031129821323
"earn_OC1_NaceP-S","turquoise",0.609022556390977,0.00437050755366254
"earn_OC2_NaceG-N","turquoise",0.597441854605894,0.0054079709194234
"earn_OC4_NaceB-F","turquoise",0.590447578423517,0.00612725882145225
"earn_OC7_NaceB-F","turquoise",0.57593984962406,0.00787094017744506
"earn_OC3_NaceG-N","turquoise",0.571428571428571,0.00848908569476669
"earn_OC4_NaceP-S","turquoise",0.562406015037594,0.00984430003305579
"earn_OC8_NaceG-N","turquoise",0.557894736842105,0.0105850284475469
"earn_OC8_NaceB-F","turquoise",0.545864661654135,0.0127836288762047
"emp_TP","turquoise",0.54488989271598,0.00873343724986077
"earn_OC2_NaceP-S","turquoise",0.53984962406015,0.0140135553045835
"disp_income","turquoise",0.536291876963016,0.0147847447674616
"earn_OC2_NaceB-F","turquoise",0.532330827067669,0.0156831251356959
"earn_OC9_NaceB-F","turquoise",0.532330827067669,0.0156831251356959
"earn_OC5_NaceP-S","turquoise",0.532330827067669,0.0156831251356959
"earn_OC9_NaceP-S","turquoise",0.526315789473684,0.0171306519857882
"earn_OC7_NaceG-N","turquoise",0.520300751879699,0.0186832211431206
"earn_OC9_NaceG-N","turquoise",0.515789473684211,0.0199197634597036
"GDP","turquoise",0.511719873554479,0.0149163181568036
"emp_Y25-64_ED5-8","turquoise",0.505364201016375,0.0164322007852309
"emp_Y25-64_NaceK","turquoise",0.491812535290796,0.020081872418542
"earn_OC1_NaceB-F","turquoise",0.491729323308271,0.0276582275130461
"earn_OC5_NaceB-F","turquoise",0.489473684210526,0.0334152620695393
"earn_OC5_NaceG-N","turquoise",0.482706766917293,0.0311052168695434
"emp_Y25-64_NaceM_N","turquoise",0.437605872388481,0.0416734520372582
"rooms_pp","turquoise",0.392852718664344,0.0705135521448248
"emp_Y15-24_NaceO-Q","turquoise",0.373235460191982,0.087099314410892
"emp_Y25-64_NaceJ","turquoise",0.347261434217956,0.113316366029874
"emp_Y25-64","brown",0.328063241106719,0.136081277192195
"emp_Y15-24_NaceM_N","turquoise",0.325804630152456,0.138958905673958
"emp_Y25-64_NaceR-U","turquoise",0.316770186335404,0.15090164160976
"emp_Y15-24_NaceR-U","turquoise",0.305477131564088,0.166821428422531
"training","turquoise",0.288135639205794,0.193473085422061
"emp_Y25-64_NaceO-Q","turquoise",0.273856578204404,0.217476141034743
"emp_Y15-24_ED0-2","turquoise",0.26369282891022,0.235715642229594
"emp_Y15-24_ED5-8","blue",0.1914172783738,0.393465117117667
"emp_YGE65","brown",0.162055335968379,0.471203613309024
"pop_Y0-14","turquoise",0.148503670242801,0.509537703044494
"emp_Y25-64_ED0-2","blue",0.137210615471485,0.54259126096341
"emp_Y15-24_NaceF","blue",0.128176171654433,0.569722895073283
"pop_YGE75","red",0.127046866177301,0.573155822274156
"emp_Y15-24","brown",0.0762281197063806,0.735994616226268
"pop_Y15-24","red",0.0344438170525127,0.879052791869818
"ARPR","green",-0.0338887333479787,0.880988418756113
"pop_Y65-74","grey",-0.057029926595144,0.800975590344672
"unemp_YGE25","yellow",-0.0773574251835121,0.732221313592438
"unemp_Y15-24","yellow",-0.0988142292490119,0.661749486926495
"GVAgr","turquoise",-0.113257286846243,0.64433079116402
"emp_Y15-24_NaceJ","grey",-0.115789473684211,0.626878993672825
"emp_Y25-64_NaceG-I","turquoise",-0.118012422360248,0.600939011455951
"pop_Total","turquoise",-0.11914172783738,0.597435592715371
"low_work","turquoise",-0.120373029968869,0.59362555025284
"emp_Y15-24_NaceG-I","yellow",-0.127046866177301,0.573155822274156
"emp_Y15-24_NaceA","turquoise",-0.136842105263158,0.565095792136396
"pop_Y25-64","turquoise",-0.147374364765669,0.512798661452605
"ARPR_socexcl","green",-0.156408808582722,0.486995083863477
"emp_Y25-64_NaceF","turquoise",-0.171089779785432,0.446490289076669
"emp_Y25-64_ED3-4","blue",-0.200451722190853,0.371082571823301
"emp_Y25-64_NaceL","brown",-0.243365330321852,0.275111681669403
"emp_Y25-64_NaceA","turquoise",-0.26369282891022,0.235715642229594
"emp_TF","turquoise",-0.33596837944664,0.126343930235998
"emp_Y15-24_ED3-4","turquoise",-0.394692264257482,0.0690906027102853
"mat_depriv","turquoise",-0.416149068322981,0.0540548911416165
"emp_Y25-64_NaceB-E","turquoise",-0.473743647656691,0.0259334488017816
"emp_Y15-24_NaceB-E","turquoise",-0.551665725578769,0.00777712482461109
