"var","module","VS","p.VS"
"emp_Y25-64_NaceR-U","turquoise",0.530434782608696,0.00368824785708662
"emp_Y25-64_ED5-8","turquoise",0.512173913043478,0.00533077279946018
"training","turquoise",0.511091827383755,0.00544501622345641
"emp_Y15-24_NaceR-U","turquoise",0.507826086956522,0.00580248277036322
"rooms_pp","turquoise",0.507446086717277,0.00584534049911979
"emp_PT","turquoise",0.505217391304348,0.00610213852146115
"emp_Y25-64_NaceJ","turquoise",0.488695652173913,0.00832064909224169
"emp_Y25-64_NaceM_N","turquoise",0.454782608695652,0.0150374024157935
"emp_Y15-24_ED0-2","turquoise",0.452173913043478,0.0157009690266491
"earn_OC8_G-N","turquoise",0.442123094297007,0.0184881100310361
"pop_Y0-14","turquoise",0.416521739130435,0.0274655032151671
"earn_OC3_P-S","turquoise",0.413890457368718,0.0285602219348394
"emp_Y25-64_NaceK","turquoise",0.409565217391304,0.0304362854040042
"GDP","turquoise",0.400086984887404,0.0348962464744947
"emp_Y15-24_ED5-8","blue",0.386086956521739,0.0424287792685131
"earn_OC4_G-N","turquoise",0.370976849237719,0.0519536104451177
"emp_Y15-24_NaceO-Q","turquoise",0.349565217391304,0.0682420943682402
"earn_OC3_B-F","turquoise",0.349520045172219,0.0682801999535526
"earn_OC3_G-N","turquoise",0.33596837944664,0.0804743418498699
"earn_OC2_P-S","turquoise",0.332580463015246,0.0837680060163519
"earn_OC5_B-F","turquoise",0.332467532467532,0.0838795360010734
"earn_OC4_P-S","turquoise",0.331451157538114,0.0848884009104709
"earn_OC9_B-F","turquoise",0.328063241106719,0.0883180371507612
"disp_income","turquoise",0.324293837066913,0.0922562369267276
"emp_YGE65","blue",0.321739130434783,0.0949998194606513
"earn_OC2_G-N","turquoise",0.321468977859013,0.0952935007613345
"earn_OC1_P-S","turquoise",0.317899491812535,0.0992383787804368
"earn_OC9_G-N","turquoise",0.316770186335404,0.100511621489187
"earn_OC4_B-F","turquoise",0.313470783468803,0.104301727119456
"earn_OC7_B-F","turquoise",0.312252964426877,0.105727310410549
"earn_OC5_P-S","turquoise",0.309994353472614,0.108409661983304
"earn_OC1_G-N","turquoise",0.302089215132693,0.11819744149489
"earn_OC7_G-N","turquoise",0.29983060417843,0.121110090494073
"emp_Y25-64","brown",0.296521739130435,0.125472011597969
"emp_Y15-24_NaceJ","blue",0.294805194805195,0.127779702161127
"earn_OC2_B-F","turquoise",0.294184076792772,0.128622324720617
"earn_OC9_P-S","turquoise",0.294184076792772,0.128622324720617
"emp_Y25-64_NaceO-Q","turquoise",0.291304347826087,0.132582158897366
"emp_Y15-24_NaceM_N","blue",0.285217391304348,0.141243106254605
"earn_OC5_G-N","turquoise",0.276115189158667,0.154946540999815
"earn_OC8_B-F","turquoise",0.271597967250141,0.162088972546611
"emp_Y25-64_ED0-2","yellow",0.257391304347826,0.186068446347
"earn_OC1_B-F","turquoise",0.201581027667984,0.303647542212131
"emp_Y25-64_NaceL","brown",0.197391304347826,0.314018181255564
"emp_Y15-24_NaceG-I","blue",0.164347826086956,0.403322388877015
"pop_YGE75","green",0.140869565217391,0.474606376729937
"emp_Y25-64_NaceG-I","turquoise",0.128695652173913,0.513970276806201
"ARPR","green",0.125271869180018,0.525321287712173
"emp_Y15-24","brown",0.116521739130435,0.554868023406296
"emp_Y15-24_NaceF","brown",0.0930434782608696,0.637700174941046
"unemp_Y15-24","black",0.0652173913043478,0.741614951705594
"emp_Y15-24_NaceA","turquoise",0.0446075663466968,0.821674837179019
"pop_Y15-24","blue",0.0217391304347826,0.912567367466907
"emp_Y25-64_NaceF","yellow",-0.0130434782608696,0.947476967999891
"unemp_YGE25","black",-0.0130434782608696,0.947476967999891
"GVAgr","grey",-0.0506822719077174,0.797856140202181
"ARPR_socexcl","green",-0.0704347826086957,0.721723601975289
"emp_Y15-24_ED3-4","brown",-0.100869565217391,0.609545392327174
"low_work","yellow",-0.133594480535353,0.497940610487029
"pop_Y25-64","turquoise",-0.147826086956522,0.452834479793426
"emp_FT","turquoise",-0.173913043478261,0.376115298392712
"emp_Y25-64_NaceA","turquoise",-0.240869565217391,0.216931058897062
"pop_Total","grey",-0.249565217391304,0.200282639797271
"emp_Y25-64_ED3-4","yellow",-0.284347826086956,0.142512998691099
"pop_Y65-74","grey",-0.353043478260869,0.0653570233254412
"emp_Y15-24_NaceB-E","red",-0.38695652173913,0.0419261295407841
"mat_depriv","turquoise",-0.393913043478261,0.0380734141735967
"emp_Y25-64_NaceB-E","red",-0.465217391304348,0.0126108553562722
