"var","module","VS","p.VS"
"emp_Y15-24_NaceR-U","turquoise",0.592307692307692,0.000897772354151956
"emp_Y25-64_NaceM_N","turquoise",0.585384615384615,0.00106639875566533
"emp_Y25-64_NaceJ","turquoise",0.583076923076923,0.00112841646976684
"emp_Y25-64_ED5-8","turquoise",0.582307692307692,0.00114977380650794
"training","turquoise",0.571373647526675,0.00149357613210273
"emp_PT","turquoise",0.566153846153846,0.00168692695397059
"emp_Y25-64_NaceR-U","turquoise",0.560769230769231,0.00190869218711519
"earn_OC8_G-N","turquoise",0.554347826086957,0.00220566465864071
"rooms_pp","turquoise",0.552598972020809,0.00229313000122029
"earn_OC3_P-S","turquoise",0.552371541501976,0.00230472094669798
"emp_Y25-64_NaceK","turquoise",0.530769230769231,0.00366275472090513
"GDP","turquoise",0.510098105223568,0.0055517540440231
"earn_OC4_G-N","turquoise",0.509881422924901,0.00557526256682734
"earn_OC5_B-F","turquoise",0.500846979107849,0.00663351757967888
"emp_Y15-24_NaceO-Q","turquoise",0.496153846153846,0.00724717210183633
"earn_OC3_B-F","turquoise",0.490733891927191,0.00801479473748313
"earn_OC9_B-F","turquoise",0.485177865612648,0.00887161311490345
"earn_OC3_G-N","turquoise",0.482213438735178,0.0093593980299663
"earn_OC2_G-N","turquoise",0.476520077990908,0.0103594330981299
"earn_OC7_B-F","turquoise",0.475296442687747,0.0105856414134529
"earn_OC2_P-S","turquoise",0.473320158102767,0.0109597057379959
"earn_OC4_P-S","turquoise",0.472332015810277,0.0111508401149554
"earn_OC9_G-N","turquoise",0.466403162055336,0.01235702938599
"earn_OC5_P-S","turquoise",0.465415019762846,0.0125682521841122
"earn_OC4_B-F","turquoise",0.465035843205928,0.0126500979214337
"disp_income","turquoise",0.457241776080488,0.0144333064806958
"earn_OC9_P-S","turquoise",0.455533596837945,0.0148507410052448
"earn_OC7_G-N","turquoise",0.451581027667984,0.0158551088714117
"emp_Y25-64_NaceO-Q","turquoise",0.451538461538462,0.0158662232939106
"earn_OC8_B-F","turquoise",0.433794466403162,0.0210952111865512
"earn_OC5_G-N","turquoise",0.43340747554899,0.021223315078312
"earn_OC2_B-F","turquoise",0.430442316081152,0.022226153258615
"earn_OC1_P-S","turquoise",0.426877470355731,0.0234827678351384
"emp_Y25-64","brown",0.423076923076923,0.0248857212354384
"emp_Y15-24_ED5-8","blue",0.421538461538462,0.0254727034515028
"emp_Y15-24_NaceM_N","blue",0.412307692307692,0.0292355609034095
"pop_Y0-14","turquoise",0.405384615384615,0.0323430201864033
"emp_Y15-24_NaceJ","blue",0.396950875211745,0.0364823913950064
"earn_OC1_G-N","turquoise",0.387351778656126,0.0416992249603156
"earn_OC1_B-F","turquoise",0.337944664031621,0.078599276893193
"emp_Y25-64_NaceL","brown",0.321538461538462,0.0952179002038239
"emp_Y15-24_ED0-2","turquoise",0.296923076923077,0.124936896076994
"emp_Y15-24_NaceG-I","blue",0.286153846153846,0.139884701313353
"emp_Y15-24","brown",0.217692307692308,0.265788995602737
"emp_Y15-24_NaceF","brown",0.216923076923077,0.267523621038833
"emp_YGE65","blue",0.207692307692308,0.288909387445101
"pop_YGE75","green",0.166923076923077,0.395890600161618
"pop_Y15-24","blue",0.16,0.416046299623882
"emp_Y25-64_NaceG-I","turquoise",0.138461538461538,0.482266725171888
"emp_Y25-64_ED0-2","yellow",0.0969230769230769,0.623678416894027
"emp_Y15-24_ED3-4","brown",0.0523076923076923,0.791511915958329
"emp_Y25-64_NaceF","yellow",0.0253846153846154,0.897975616402075
"unemp_Y15-24","black",0.0107692307692308,0.956625438531349
"unemp_YGE25","black",-0.07,0.723374670191808
"low_work","yellow",-0.0904542223378544,0.647127073625619
"ARPR","green",-0.0927279791608948,0.638845927925456
"GVAgr","grey",-0.153107369068177,0.436667138190085
"emp_Y15-24_NaceA","turquoise",-0.1699604743083,0.387225993225721
"pop_Y65-74","grey",-0.210769230769231,0.281663760902455
"emp_FT","turquoise",-0.234615384615385,0.229468594475295
"pop_Total","grey",-0.237692307692308,0.223241135931936
"emp_Y25-64_ED3-4","yellow",-0.237692307692308,0.223241135931936
"ARPR_socexcl","green",-0.245384615384615,0.208173563210577
"pop_Y25-64","turquoise",-0.323076923076923,0.0935555548945519
"emp_Y15-24_NaceB-E","red",-0.354615384615385,0.0640846497206755
"emp_Y25-64_NaceA","turquoise",-0.406923076923077,0.0316304558825196
"emp_Y25-64_NaceB-E","red",-0.474615384615385,0.0107133250184329
"mat_depriv","turquoise",-0.485384615384615,0.00883840521992933
