"var","module","VS","p.VS"
"emp_Y15-24_ED5-8","blue",0.475095785440613,0.010623127357176
"GVAgr","grey",0.364126358857916,0.0567915088464112
"emp_Y25-64_ED5-8","turquoise",0.29064039408867,0.133507605084184
"emp_Y25-64_ED0-2","yellow",0.286808976464149,0.13894001976822
"pop_Y0-14","turquoise",0.28024083196497,0.148622311078064
"emp_Y15-24_NaceA","turquoise",0.271111111111111,0.162872488582181
"rooms_pp","turquoise",0.264431927314212,0.173893999650975
"earn_OC8_G-N","turquoise",0.251282051282051,0.197102417502504
"emp_Y15-24_NaceJ","blue",0.238461538461538,0.221702224359489
"ARPR","green",0.209993173081348,0.283480203396679
"emp_Y25-64_NaceK","turquoise",0.201423097974822,0.304034528411093
"emp_PT","turquoise",0.192118226600985,0.327377908191989
"emp_Y25-64_NaceO-Q","turquoise",0.191023535851122,0.330194248762327
"ARPR_socexcl","green",0.190228549749127,0.332248750864098
"pop_Y15-24","blue",0.168035030103996,0.392705894100629
"emp_YGE65","blue",0.155993431855501,0.427966254821955
"earn_OC4_P-S","turquoise",0.152136752136752,0.43961473779334
"emp_Y15-24_NaceR-U","turquoise",0.151067323481117,0.442874815284376
"earn_OC3_P-S","turquoise",0.149401709401709,0.447978119062665
"earn_OC5_P-S","turquoise",0.146666666666667,0.456425812680969
"earn_OC7_G-N","turquoise",0.143931623931624,0.464957032369659
"earn_OC2_B-F","turquoise",0.134040008797806,0.496495309975863
"GDP","turquoise",0.132201999322055,0.502471383649141
"earn_OC9_P-S","turquoise",0.130940170940171,0.506594685361881
"earn_OC9_G-N","turquoise",0.122735042735043,0.533808815713251
"low_work","yellow",0.120755768382068,0.540475861759439
"earn_OC2_G-N","turquoise",0.117647065703655,0.551025715482797
"earn_OC4_G-N","turquoise",0.107008547008547,0.587832014389229
"earn_OC3_G-N","turquoise",0.10017094017094,0.612037512503706
"emp_Y15-24_ED0-2","turquoise",0.0952380952380952,0.629752943589836
"earn_OC5_G-N","turquoise",0.0909557202556544,0.645297009908725
"emp_Y25-64_NaceA","turquoise",0.090311986863711,0.647646484880165
"emp_Y25-64_NaceR-U","turquoise",0.0848385331143952,0.667754948612333
"earn_OC3_B-F","turquoise",0.0800136787211395,0.685669218077708
"emp_Y25-64_NaceL","brown",0.077175697865353,0.696285345995621
"earn_OC2_P-S","turquoise",0.0755555555555555,0.702371219292862
"emp_Y15-24_NaceG-I","blue",0.0678708264915161,0.731477494512819
"earn_OC9_B-F","turquoise",0.0673504273504273,0.733462267115848
"emp_Y15-24","brown",0.0558292282430213,0.777811895252708
"earn_OC7_B-F","turquoise",0.0509401709401709,0.796848677199339
"training","turquoise",0.0465370945441306,0.81409138983552
"earn_OC4_B-F","turquoise",0.0454778601278272,0.818252417376786
"mat_depriv","turquoise",0.0421513621026843,0.831350876577076
"earn_OC8_B-F","turquoise",0.0331623931623932,0.866957622157171
"earn_OC5_B-F","turquoise",0.0269230769230769,0.891827084188587
"emp_Y15-24_NaceM_N","blue",0.0257252326217843,0.896613814609598
"emp_Y25-64_NaceM_N","turquoise",0.0229885057471264,0.907563141022271
"emp_Y15-24_NaceO-Q","turquoise",0.0186097427476738,0.925115683279134
"disp_income","turquoise",0.00581395382837831,0.976575802797343
"emp_Y25-64_NaceG-I","turquoise",-0.00273672687465791,0.988972671786655
"emp_Y25-64_NaceJ","turquoise",-0.00547345374931582,0.977947325573985
"unemp_YGE25","black",-0.0246305418719212,0.900991434158844
"pop_YGE75","green",-0.0290093048713738,0.883499209557261
"unemp_Y15-24","black",-0.0465243568691845,0.814141398614179
"emp_Y25-64","brown",-0.0673234811165846,0.733565084302323
"earn_OC1_P-S","turquoise",-0.0673504273504273,0.733462267115848
"earn_OC1_G-N","turquoise",-0.0817094017094017,0.679353572955051
"pop_Total","grey",-0.102900930487137,0.602323402541007
"emp_Y15-24_NaceF","brown",-0.125342090859332,0.525087273007625
"earn_OC1_B-F","turquoise",-0.147350427350427,0.454306027377581
"emp_FT","turquoise",-0.222222222222222,0.255722017118736
"pop_Y25-64","turquoise",-0.234263820470717,0.230187460750892
"emp_Y15-24_ED3-4","brown",-0.253420908593322,0.193189332733615
"pop_Y65-74","grey",-0.282430213464696,0.145342537568141
"emp_Y25-64_NaceF","yellow",-0.296113847837986,0.126017584760451
"emp_Y15-24_NaceB-E","red",-0.365626710454297,0.0557029149566696
"emp_Y25-64_ED3-4","yellow",-0.433497536945813,0.0211934457041792
"emp_Y25-64_NaceB-E","red",-0.520525451559934,0.00451554796974171
