"","MEgreen","MEbrown","MEyellow","MEpurple","MEblack","MEpink","MEgreenyellow","MEblue","MEturquoise","MEmagenta","MEred","MEtan","MEgrey"
"MEgreen",1,0.200679117147708,0.485633782465773,-0.384040747028862,-0.624693855434743,-0.621702850124625,-0.142116100133656,-0.467254271574613,-0.541119098363617,-0.138648267890041,-0.0811978470541487,-0.173817866560705,-0.18861395080013
"MEbrown",0.200679117147708,1,0.684398367228985,-0.258288480294766,-0.144399089694036,-0.158617201892858,-0.158270418668497,0.231701766427049,-0.148574937687389,0.0264060976050284,-0.633695769967128,-0.47118448145071,-0.118173608351696
"MEyellow",0.485633782465773,0.684398367228985,1,-0.540208792399668,-0.325058700285374,-0.434656648484629,-0.263128996134812,-0.0196149261279486,-0.311317415020048,0.0596394899396742,-0.600534624137557,-0.370617346385869,0.0832640970993028
"MEpurple",-0.384040747028862,-0.258288480294766,-0.540208792399668,1,0.261785211140411,0.409283675902178,0.385789112451685,0.0053101181230358,0.342036628978073,-0.230213488422498,0.297417187443557,0.0527471733554889,-0.085575985261713
"MEblack",-0.624693855434743,-0.144399089694036,-0.325058700285374,0.261785211140411,1,0.672333200881407,0.0257992269623957,0.581056966369252,0.520788931835422,0.19540512227721,-0.0553191489361702,0.408243326229094,0.0499006610555214
"MEpink",-0.621702850124625,-0.158617201892858,-0.434656648484629,0.409283675902178,0.672333200881407,1,0.242336451974136,0.40281038904743,0.345865693747065,-0.190651302243254,0.0487880648773616,0.0647111945959614,0.105674962973666
"MEgreenyellow",-0.142116100133656,-0.158270418668497,-0.263128996134812,0.385789112451685,0.0257992269623957,0.242336451974136,1,0.248116172380161,0.530845645341907,-0.596445471950294,0.0624860022396417,-0.200664667846693,0.0893472528266445
"MEblue",-0.467254271574613,0.231701766427049,-0.0196149261279486,0.0053101181230358,0.581056966369252,0.40281038904743,0.248116172380161,1,0.603554528049706,0.186937831882383,-0.269168803959108,0.13607629230936,-0.0379366398150489
"MEturquoise",-0.541119098363617,-0.148574937687389,-0.311317415020048,0.342036628978073,0.520788931835422,0.345865693747065,0.530845645341907,0.603554528049706,1,0.192428566268107,-0.00854676155041,0.0928584329733049,0.0652313694325037
"MEmagenta",-0.138648267890041,0.0264060976050284,0.0596394899396742,-0.230213488422498,0.19540512227721,-0.190651302243254,-0.596445471950294,0.186937831882383,0.192428566268107,1,0.0911967633565726,0.143113101903695,-0.0519091138966152
"MEred",-0.0811978470541487,-0.633695769967128,-0.600534624137557,0.297417187443557,-0.0553191489361702,0.0487880648773616,0.0624860022396417,-0.269168803959108,-0.00854676155041,0.0911967633565726,1,0.098132427843803,-0.0845211862876133
"MEtan",-0.173817866560705,-0.47118448145071,-0.370617346385869,0.0527471733554889,0.408243326229094,0.0647111945959614,-0.200664667846693,0.13607629230936,0.0928584329733049,0.143113101903695,0.098132427843803,1,-0.0894194993317198
"MEgrey",-0.18861395080013,-0.118173608351696,0.0832640970993028,-0.085575985261713,0.0499006610555214,0.105674962973666,0.0893472528266445,-0.0379366398150489,0.0652313694325037,-0.0519091138966152,-0.0845211862876133,-0.0894194993317198,1
