"module","eigenvar","p.eigenvar","meanVarTS","p.meanVarTS"
"black",0.593218780144905,0,0,1
"turquoise",0.543625367115885,0,0.457291379680451,0
"blue",0.523028905572831,0,0.475999641862161,0
"greenyellow",0.508489267204273,0,0.478954111189144,0
"magenta",0.489354380010321,0,0.473958532037422,0
"brown",0.450992871248079,6.40598685208715e-14,0.415520690781945,0
"green",0.43814114459896,7.34190486184616e-13,0.427136592472764,0
"yellow",0.416434973458789,3.63028496153106e-11,0.426369424957315,0
"purple",0.40538581375251,2.37691644144888e-10,0.400329023867329,4.44089209850063e-16
"grey",0.388749814947573,3.50902418233545e-09,0.391447657596995,3.5355811611737e-09
"pink",0.382555878103086,9.16383402493892e-09,0.360645012332234,1.16950893414014e-12
"tan",0.37319310301236,3.74228675825705e-08,0.38286578255166,5.21804821573824e-15
"red",0.321719285044793,3.26893541909845e-05,0.398305736808286,0
