"","var","module","kTotal","kIn","MM.green","p.MM.green","MM.brown","p.MM.brown","MM.yellow","p.MM.yellow","MM.purple","p.MM.purple","MM.black","p.MM.black","MM.pink","p.MM.pink","MM.greenyellow","p.MM.greenyellow","MM.blue","p.MM.blue","MM.turquoise","p.MM.turquoise","MM.magenta","p.MM.magenta","MM.red","p.MM.red","MM.tan","p.MM.tan","MM.grey","p.MM.grey"
"18","emp_Y25-64_NaceA","green",0.727496430426479,0.213541370363982,0.89979570990807,4.34463695177702e-33,0.131886278515492,0.2179440161709,0.34521620701396,0.000922342471044465,-0.361950970377937,0.000491531254780108,-0.669731018045625,7.16299356815041e-13,-0.649199863806605,5.93714948588892e-12,-0.21338100102145,0.0446685792313069,-0.496561116785836,7.45457961998022e-07,-0.559822948586994,1.17310120413293e-08,-0.104800817160368,0.328367653627751,0.0151004426285325,0.88830333113357,-0.136346612189309,0.202639707210062,-0.119935308137555,0.262918789629969
"28","emp_Y15-24_NaceM_N","green",0.22739955912684,0.110598076813161,-0.467927458964779,8.17540132521144e-06,-0.0924394441879014,0.405875820178296,-0.359640653205155,0.000840002372333529,0.312581335796146,0.00401439027129657,0.552873514965786,5.97024556438671e-08,0.526069434532555,3.26409049399257e-07,0.0907812434406616,0.414385258729844,0.383317241089795,0.000347723886028462,0.247176860753117,0.0242707221444858,0.0340246001427312,0.760087220178882,0.00497460224171949,0.964399257006206,0.294404097225137,0.00690012118355402,-0.150224591746778,0.175238644606352
"29","emp_Y25-64_NaceM_N","green",0.902332861657041,0.294014932802091,-0.854798974099628,5.99205175206996e-28,-0.30592782574143,0.00271188504069365,-0.639186504352852,4.11810365378405e-12,0.417360835169599,2.85195310928543e-05,0.707271610735831,1.61466033521442e-15,0.679890185312285,4.87394353041397e-14,0.0331394718780479,0.751177402496745,0.403373911787017,5.54914139400379e-05,0.4335729509085,1.26952428569951e-05,0.154282411588339,0.137619443389074,0.241613986923383,0.0189728521698726,0.296058953148141,0.00376460101126102,0.0729472961745475,0.484727656201764
"8","emp_Y25-64_ED0-2","brown",0.337757582432394,0.205591820557424,-0.0169562547411769,0.871141265880001,-0.87589495358162,7.19331129679085e-31,-0.488711483581982,5.80856683860908e-07,0.0796373225445219,0.445466599913316,-0.0741610374598129,0.47747063386845,-0.0563161507062096,0.589798557370643,0.155857385398981,0.133599321555845,-0.263461330058158,0.0102975367106332,0.033847487627786,0.746039807697955,-0.0401762814723838,0.700632357964668,0.52825922046021,4.4485139183642e-08,0.422793772351262,2.18449461430496e-05,0.159426362749702,0.124820849024979
"10","emp_Y25-64_ED3-4","brown",0.798398594749217,0.193606368401119,0.305653289022144,0.00273715690034464,0.852559332442293,1.14903936166292e-27,0.781541017953256,1.48129372531079e-20,-0.582646389480909,7.2399755443132e-10,-0.174901564136835,0.0917827598859571,-0.352772459632265,0.000487893398575424,-0.346198027670411,0.000630964274231199,0.142462883358018,0.170766258294468,-0.224115883394141,0.0298923359447516,0.184813784633168,0.0745444848702526,-0.605548531589784,1.00797552920153e-10,-0.324379583137666,0.00142464661531073,-0.0992305747209479,0.341322842272688
"13","emp_TF","brown",0.052266255563204,0.0195619032494166,0.0884947440667558,0.39634091082723,0.664039302098761,2.97707961793481e-13,0.431506700863346,1.41074405855966e-05,-0.122667340967381,0.238858220757891,-0.0610266228371203,0.559016145799362,0.117104360076581,0.260991722241245,-0.0330238774699274,0.752017231491255,0.21483943214247,0.0375784577300816,-0.153733338149767,0.13904230950541,-0.158313766571542,0.127508646813103,-0.519170610121735,8.26611943955892e-08,-0.368059820106202,0.000262525554511773,0.0345844019795542,0.740704287366518
"22","emp_Y25-64_NaceF","brown",0.0322802351678234,0.0128354678393497,0.131177979265253,0.207577548843331,0.649459957374562,1.43167450509304e-12,0.370718491492974,0.000234953769659594,-0.0382256258353502,0.714524639911981,-0.242437597081241,0.0185572213862832,-0.264501679731243,0.0099898073812728,0.0606653903117437,0.561349348912422,0.143604378138208,0.167329452217707,0.0077953978976267,0.940557590468882,0.0541776541559802,0.604022350251073,-0.292417729292345,0.00423702207562896,-0.372726944334068,0.000215924971673346,-0.0792905393201604,0.447456880875849
"19","emp_Y15-24_NaceB-E","yellow",0.894676621175235,0.504358666338135,0.510326377742108,2.77234479248746e-07,0.605054121908054,2.67839581891205e-10,0.915594517841709,1.40443767145461e-36,-0.52323332098613,1.21608254013584e-07,-0.311157756101576,0.00283470670524855,-0.461299748940198,4.74185958018591e-06,-0.422628308021566,3.33149333743962e-05,-0.278659916862164,0.00782459983079111,-0.47065069761699,2.8527593378341e-06,0.0820430505823764,0.442044032808079,-0.526114335103099,1.00701016513264e-07,-0.328624933119315,0.00156501718798128,0.10640819854303,0.318180758789738
"20","emp_Y25-64_NaceB-E","yellow",0.777397743693595,0.540452322327572,0.444005346241376,7.37469406071208e-06,0.576837770472853,1.16548456373532e-09,0.949412997146263,4.59489846846468e-48,-0.534457970595672,2.88473791068886e-08,-0.270555936856555,0.00835388055415439,-0.388895712169924,0.00010720441038449,-0.330910667196474,0.00112333922182769,-0.0519380124986454,0.619079118943108,-0.334147310623849,0.000996618480767919,0.102380522342232,0.326140251722865,-0.510356536502547,1.48203780679694e-07,-0.297402738142542,0.00360252403970042,0.170783513347542,0.0998115437114702
"32","emp_Y25-64_NaceR-U","yellow",0.218736819762757,0.0597897556859987,-0.521005671350648,7.30472073300719e-08,-0.563804500957266,3.28133468678178e-09,-0.718195282303219,3.70973863280832e-16,0.437546508687642,1.03444094604358e-05,0.461041072138135,2.92040500997221e-06,0.424701080085251,1.98713021261412e-05,-0.0691615793086009,0.507735208463786,-0.0905465448108948,0.385438123606055,0.227713759346892,0.0272922356091291,0.170754614745512,0.0998697719595187,0.433038326770942,1.30473379960773e-05,0.35720839504389,0.000408884694265569,0.142621825669183,0.170284623604044
