"var","module","VS","p.VS"
"emp_Y15-24_ED5-8","grey",0.340346346786621,0.000843737122283286
"pop_Y0-14","grey",0.333390640268669,0.00109241137688873
"pop_Y15-24","grey",0.271542261969648,0.0084657067186738
"emp_Y25-64_ED5-8","grey",0.248750100262508,0.0162018273862444
"unemp_Y15-24","grey",0.244764644298593,0.0180501220959369
"emp_Y25-64_ED0-2","grey",0.229667941858568,0.026789255831669
"emp_Y25-64_NaceA","green",0.218095113570339,0.0357165728252139
"emp_YGE65","grey",0.109466175946151,0.296245361353484
"pop_Y25-64","blue",0.0980115418100217,0.3499643036068
"unemp_YGE25","grey",0.089000379618325,0.396234309108727
"emp_Y25-64_NaceK","green",0.0235797492631469,0.822484511291229
"earn_OC7_P-S","blue",0.021954992265855,0.834535749596312
"earn_OC8_P-S","blue",-0.00367579794754087,0.972104621341134
"earn_OC8_G-N","yellow",-0.0136515944429803,0.89666398101562
"training","blue",-0.0167387348082305,0.873471552882039
"emp_Y25-64_NaceJ","green",-0.0198152629772761,0.850464721085315
"emp_Y15-24_ED0-2","grey",-0.0562770015747107,0.592096373030272
"emp_Y15-24_NaceG-I","brown",-0.0656840804912714,0.531614484522547
"emp_FT","grey",-0.103730193366269,0.322427937305974
"emp_Y15-24","brown",-0.105973481421298,0.312016601299534
"emp_Y25-64_NaceR-U","grey",-0.108048659926406,0.30258173150786
"GDP","green",-0.115857316658522,0.268767430447531
"emp_Y25-64_NaceO-Q","blue",-0.128718377230658,0.21882846047241
"earn_OC5_P-S","yellow",-0.131222469033545,0.20992268737789
"pop_Total","grey",-0.140920165872297,0.177871039159517
"earn_OC5_B-F","blue",-0.142079096221027,0.174294603981481
"emp_PT","magenta",-0.148879809322801,0.154366047786111
"emp_Y25-64_NaceF","grey",-0.158782128454269,0.128462847599489
"emp_Y25-64_NaceG-I","grey",-0.162048447310123,0.120691103034095
"earn_OC9_G-N","yellow",-0.187139038439818,0.0724627758343185
"earn_OC7_G-N","magenta",-0.193418922480328,0.0632229321277206
"emp_Y15-24_NaceF","brown",-0.19538130383657,0.0605403841723621
"emp_Y25-64_NaceM_N","green",-0.195925168922408,0.0598135738382115
"earn_OC5_G-N","yellow",-0.211961474738314,0.0413827188054042
"earn_OC9_P-S","magenta",-0.21218327623207,0.0411655014308867
"earn_OC3_P-S","magenta",-0.21373442264975,0.039672812689057
"earn_OC4_P-S","magenta",-0.215571702872633,0.0379634839654769
"earn_OC8_B-F","magenta",-0.216701178419487,0.0369435662939545
"earn_OC9_B-F","yellow",-0.240480403599262,0.02023676323137
"earn_OC2_P-S","red",-0.24359775610858,0.0186245246980289
"earn_OC7_B-F","magenta",-0.244486276872106,0.0181857447435783
"earn_OC3_B-F","magenta",-0.264977409826366,0.0102627998897008
"emp_Y15-24_ED3-4","brown",-0.2650942968914,0.0102280899213912
"emp_Y15-24_NaceO-Q","brown",-0.269273806147742,0.00905263648165851
"emp_Y25-64","brown",-0.277230933701223,0.00713858688689663
"emp_Y25-64_NaceB-E","black",-0.278561741497237,0.00685600935965966
"earn_OC4_G-N","magenta",-0.289665298746282,0.004858084492602
"earn_OC4_B-F","magenta",-0.299528100637447,0.00353689041051939
"earn_OC3_G-N","magenta",-0.308821204020933,0.00259644110173525
"earn_OC2_B-F","magenta",-0.310896084557708,0.00242001840302674
"emp_Y15-24_NaceB-E","black",-0.323254111291643,0.00157500645428821
"earn_OC2_G-N","magenta",-0.323961429894966,0.00153592071364468
"disp_income","magenta",-0.357374849882442,0.000436992100273315
"earn_OC1_P-S","red",-0.372117013666654,0.000239857047372826
"earn_OC1_G-N","magenta",-0.37455668084786,0.000216584504011453
"emp_Y25-64_ED3-4","black",-0.396670555195794,8.27186704212692e-05
"pop_YGE75","grey",-0.433965457088175,1.38802535305852e-05
"earn_OC1_B-F","red",-0.435201987876962,1.30345401187539e-05
"pop_Y65-74","grey",-0.443663930369675,8.42125089790103e-06
