"","MEyellow","MEbrown","MEmagenta","MEturquoise","MEblue","MEgreen","MEblack","MEpink","MEred","MEgrey"
"MEyellow",1,-0.201000573341471,-0.160485059214461,0.133962775959114,-0.54870628271283,-0.189086784170843,0.0331107782031602,-0.259076981881177,-0.517946821037316,0.243342149229071
"MEbrown",-0.201000573341471,1,0.568921193290055,0.534639688792716,0.361930742816278,0.382137022446627,0.153257874197784,-0.0192537929929041,0.0914609110580924,0.0167680802924658
"MEmagenta",-0.160485059214461,0.568921193290055,1,0.252051391123688,0.205073763770984,0.0347377116893846,-0.600837201847023,-0.122243183093208,-0.0489214398885375,0.0395630274895658
"MEturquoise",0.133962775959114,0.534639688792716,0.252051391123688,1,0.297769516728625,0.647822843650397,0.128905041089472,-0.00374336495958867,-0.302078208708625,0.127742329245963
"MEblue",-0.54870628271283,0.361930742816278,0.205073763770984,0.297769516728625,1,0.496268964964521,-0.0728476576226673,0.178809175929522,0.00403250167995216,-0.116175010942808
"MEgreen",-0.189086784170843,0.382137022446627,0.0347377116893846,0.647822843650397,0.496268964964521,1,0.104121893629745,0.0966068048851159,-0.0962245772377271,-0.14169302187945
"MEblack",0.0331107782031602,0.153257874197784,-0.600837201847023,0.128905041089472,-0.0728476576226673,0.104121893629745,1,0.0169875529416116,0.215456176367234,0.0356377961493647
"MEpink",-0.259076981881177,-0.0192537929929041,-0.122243183093208,-0.00374336495958867,0.178809175929522,0.0966068048851159,0.0169875529416116,1,0.337704291430086,-0.15889018353092
"MEred",-0.517946821037316,0.0914609110580924,-0.0489214398885375,-0.302078208708625,0.00403250167995216,-0.0962245772377271,0.215456176367234,0.337704291430086,1,-0.143798356421116
"MEgrey",0.243342149229071,0.0167680802924658,0.0395630274895658,0.127742329245963,-0.116175010942808,-0.14169302187945,0.0356377961493647,-0.15889018353092,-0.143798356421116,1
