"","MEyellow","MEgreen","MEbrown","MEblack","MEblue","MEgrey","MEyellow","MEgreen","MEbrown","MEblack","MEblue","MEgrey"
"mismatch",-0.00965680757192131,-0.397065484263799,-0.20128950393927,-0.417379081214916,-0.417379081214916,-0.431954206959594,0.876612176287507,2.74211075199378e-11,0.0010760258046127,2.00315958444002e-12,2.00315958444002e-12,2.74109038039424e-13
"lmktm_OC0",0.805457770119376,-0.260821096332744,0.624323608509351,-0.29776274313831,-0.845544706696394,0.679386512383213,8.77587555959506e-61,1.97617742848566e-05,1.31035940080796e-29,9.63307828171457e-07,1.5141448718953e-72,1.10277320158274e-36
"lmktm_OC1",0.358627359350746,0.0363185010765641,0.708169493698597,0.303792848015261,0.324912156549385,0.561747608786591,2.43723720988694e-09,0.559139709448425,4.90093331065095e-41,5.64128401283122e-07,7.85920339194021e-08,4.14661088389255e-23
"lmktm_OC2",0.499861284646684,0.121269171446858,0.722055158956769,0.29549236858364,0.258650131523773,0.671486901422372,6.63734039299817e-18,0.05034886649109,2.48611429655151e-43,1.17463974665048e-06,2.32883106838783e-05,1.41657303897062e-35
"lmktm_OC3",0.390641229483533,0.184564010759863,0.765651630776037,0.405788250739045,0.431721023842119,0.578417614600097,6.04941724921649e-11,0.00276098663645458,1.51702868855767e-51,9.11005475812118e-12,2.83186160796542e-13,1.05050198855724e-24
"lmktm_OC4",0.383405398011748,0.117986977464971,0.759230802772862,0.382426688764521,0.424674828322327,0.580260002611543,1.445301557365e-10,0.0569566794940157,3.16160703664223e-50,1.62335359293081e-10,7.49075406804644e-13,6.9076847171703e-25
"lmktm_OC5",0.253066085325006,0.406624098257689,0.772212052078495,0.51790614490772,0.590532473546961,0.52117118461166,3.52932506817214e-05,8.18328667362723e-12,6.15215820846132e-53,2.58792081188152e-19,6.34969113789647e-26,1.40911158049284e-19
"lmktm_OC6",-0.642710135151518,0.625997480682515,0.0371129562676627,-0.0188653262855668,-0.0188668903080695,-0.198990146147972,8.23842476418764e-32,8.37582196535049e-30,0.550570172596491,0.761628648441564,0.761609481762468,0.00123041789988974
"lmktm_OC7",0.112509950974033,0.70058853572095,0.413957996477862,0.767439671874386,0.709790933305729,0.234915586388207,0.0695707288970183,7.71013533703534e-40,3.15143553035912e-12,6.3997482719424e-52,2.68724930357729e-41,0.000127776721872086
"lmktm_OC8",0.629383772418598,0.570413785798966,0.470678632282415,0.634340130938677,0.396182985891248,0.533163728613996,3.35889867615033e-30,6.29710080776446e-24,8.54478916530783e-16,8.63909636720603e-31,3.06005465213963e-11,1.42707415980229e-20
"lmktm_OC9",0.227015044836786,0.742533595309473,0.319620463486161,0.6626498586988,0.550005312480001,0.322445981378897,0.00021701571399421,5.54734287224374e-47,1.30648966229754e-07,2.24732672294459e-34,4.889362911194e-22,9.97182172939957e-08
"lmktm_ED0.2",0.320334523273037,0.705124367347751,0.514256619921091,0.8673876849845,0.730155609431977,0.330488015663282,1.22058426027773e-07,1.4982489226566e-40,5.0664587475151e-19,1.80130673634542e-80,9.79994804285951e-45,4.55187633083801e-08
"lmktm_ED3_4",0.0741865142121369,0.121974998204652,0.503651270360937,0.298322252681666,0.444922853205793,0.426521557528271,0.232316194128119,0.0490146744138477,3.41140505141451e-18,9.17114224610386e-07,4.302571061207e-14,5.81770578794691e-13
"lmktm_ED5.8",0.535020253576701,0.305539857577361,0.721855161812251,0.370359954415715,0.310682282560619,0.700304538382154,9.92957262838095e-21,4.82023056407356e-07,2.68881957075727e-43,6.59004752885104e-10,3.0158051878282e-07,8.5342005663375e-40
"lmktm_Total",0.431203110870254,0.413827100707839,0.783487779155648,0.56715833115777,0.592061899413517,0.626215108133644,3.04409521941037e-13,3.20622349331292e-12,1.92421573382692e-55,1.28663802519531e-23,4.41819282962165e-26,7.90079416920425e-30
"migrt_Total",-0.0566014081495427,-0.276981303447009,0.0911050016236017,-0.115557564556983,0.0086042367876538,0.101383252082165,0.362419207455359,5.55969809115735e-06,0.142148809767273,0.0622966347461755,0.889970882478299,0.102206718421936
"migrt_Y15.24",0.00974221503138192,-0.408413453434016,0.329158300929787,-0.123135645829241,0.048653791203536,0.204418686730206,0.875529706139918,6.49749027477673e-12,5.19023129750591e-08,0.0468849524469539,0.433793367992477,0.000894454281821636
"migrt_Y25.64",-0.0417619403589976,-0.182787331572022,-0.121255892495417,-0.158697583852831,-0.136150636161756,0.0257232585862015,0.501749530703318,0.00303810582037924,0.0503742542244807,0.0102338773878086,0.0278584385694709,0.679133575617752
"EU_groups",0.475824689620214,0.524802950682624,0.581707507136327,0.579327828983478,0.582775940640158,0.526529422353762,0,0,0,0,0,0
