"module","eigenvar","p.eigenvar","meanVarTS","p.meanVarTS"
"black",0.301211440970887,0.0938792152455022,0.258218408457573,0.155559917157928
"grey",0.171162577322677,0.250000902654465,-0.11686471917876,0.567782381117955
"yellow",0.155376299076363,0.297007181289069,-0.0982667798066806,0.320101159114229
"pink",0.110330472139077,0.460345381281677,0.0827942790060622,0.754134562666933
"red",0.0662098483224545,0.658362692980723,0.161698520400894,0.234177643223549
"turquoise",-0.00676554781984906,0.964000680631262,0.00909054570655495,0.716656748741789
"brown",-0.105299680170471,0.481170431918637,-0.236880818803456,0.12048279573501
"magenta",-0.206262470712834,0.164226547621326,-0.169080870301185,0.44813026008959
"green",-0.404834190485156,0.00476336981622832,-0.189393217222881,0.0117148834410292
"blue",-0.466475848399337,0.000949778347558074,-0.423100441471393,0.000712751269189127
