"","var","module","kTotal","kIn","MM.yellow","p.MM.yellow","MM.brown","p.MM.brown","MM.magenta","p.MM.magenta","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.green","p.MM.green","MM.black","p.MM.black","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.grey","p.MM.grey"
"10","emp_Y25-64_ED3-4","yellow",0.374915722861175,0.173038966460991,0.882132706973189,2.74851997969683e-89,-0.270230014734259,6.94470785424305e-06,-0.247193401024617,4.14603986694426e-05,0.147726053746139,0.0153116071963914,-0.547642826758401,1.87893161307319e-22,-0.137950889912273,0.0236445650591341,0.0808331329720666,0.186250741223004,-0.28673361815458,1.7385230130886e-06,-0.555459382147503,3.54315848824961e-23,0.267974871614665,8.33393815671708e-06
"18","emp_Y25-64_NaceB-E","yellow",0.194945531810957,0.134132081505532,0.814136257991332,5.58064800144774e-65,-0.305047870930354,3.36120172903105e-07,-0.32325177088535,5.84987631267776e-08,-0.0017496162311121,0.977213735445074,-0.561911014937703,8.64698469340039e-24,-0.18069257183722,0.00293659498511914,0.116618271714538,0.0560948825583099,-0.218018334597151,0.000315114921468226,-0.329562226044499,3.10407484769192e-08,0.0979174758179363,0.109080429099172
"20","emp_Y15-24_NaceG-I","yellow",0.0915340122672557,0.0682007824003449,-0.748335854677274,2.92855716148122e-48,0.01812364977158,0.770303293214212,0.0683940582693241,0.270004023732208,-0.118560710506871,0.0552808668401543,0.349510468956654,6.07485824003481e-09,-0.0575587019391316,0.353415974419601,0.0370463228331043,0.550517473418183,0.138342458713116,0.0251338274161066,0.413043663203228,3.23073420061223e-12,-0.122875769893985,0.0469286330556948
"26","emp_Y25-64_NaceR-U","yellow",0.0839277025129225,0.0423824138306416,-0.712528435887477,5.58453541706689e-43,0.156918628665841,0.00994718077862003,-0.103567047044825,0.090022817536197,-0.0884542590640355,0.147941948978889,0.370347765509503,3.60498634932363e-10,0.391959656488314,2.60427285042237e-11,0.140689366056952,0.0209866877699617,0.119589166928678,0.0500763509629205,0.370768215921631,3.43157196638802e-10,-0.22792357913037,0.000162878550224501
"4","pop_Y25-64","brown",0.191333590358571,0.161597137816137,0.224982275734093,0.000198741224158646,-0.830472790939972,8.39243646084344e-70,-0.476935027464906,1.100070683537e-16,-0.345731688521457,5.72440443028385e-09,-0.2025942160326,0.000831643943594973,-0.149205028143052,0.0143064625705582,-0.347885109767149,4.53672217239518e-09,0.0611662875215003,0.317568939290863,-0.276704457884062,4.0767310613933e-06,-0.0142589407362198,0.815926969201891
"21","emp_Y25-64_NaceG-I","brown",0.0464504823120428,0.020951523919273,-0.218442517653759,0.0003065160656258,-0.641396277811119,1.41560062968643e-32,-0.488251815311894,1.60671688996368e-17,-0.440209799856022,3.54288265759562e-14,-0.0730652920443165,0.232330764871815,-0.179358193443903,0.00315754543796865,0.130150075235669,0.032862162169267,0.0951241461718905,0.119608737754476,0.225780673118406,0.000188338600853251,-0.0149503435348574,0.807172237812357
"25","emp_Y25-64_NaceO-Q","brown",0.265301285295554,0.192747172109034,-0.269202932055953,7.54764325958336e-06,0.905017046120081,4.10639638763885e-101,0.564775872804503,4.5767937887297e-24,0.410543934602083,2.32096116653036e-12,0.364423853471182,7.16644497949444e-10,0.297438458266289,6.74586825384474e-07,0.0785644269359522,0.198953697662564,0.0413083282472396,0.499904534425472,0.156726281849735,0.0100396475979376,0.0518257535124871,0.397208997993582
"31","training","brown",0.255227619455839,0.0796563069122406,-0.382646698990079,8.97207190180331e-11,0.775651014273262,4.32342094802599e-55,0.421518854446977,5.72314507527361e-13,0.538015930952793,1.64280674523397e-21,0.461834598583363,1.45238659017523e-15,0.503463319510508,1.25126467279153e-18,0.0714895912303713,0.2434699026797,0.00158760465226405,0.979362033159449,0.0565437257959609,0.356491088999148,-0.0498320203634265,0.416517930691277
"2","pop_Y0-14","magenta",0.144019692344175,0,-0.346604647148397,5.21055045504844e-09,0.545468444641723,2.96554291718036e-22,0.875661962800619,2.19392549523003e-86,0.128885929707103,0.0346125299735715,0.307380692571837,2.70400349778364e-07,0.0333974489387018,0.585505774062447,-0.528681869463093,9.01134278023792e-21,-0.0597212204158883,0.329158252076418,0.0751724648134791,0.21910249417364,-0.0165683355218949,0.786780207963216
"3","pop_Y15-24","magenta",0.109905655152513,0,0.0402602846979477,0.510853405009266,0.444318062722324,1.921089807458e-14,0.874490003514028,7.07099791748639e-86,0.300302699636884,5.20200587875526e-07,0.0735997829933357,0.228923211257034,0.0241056181299204,0.693892912917218,-0.549414020356705,1.29240526901479e-22,-0.123677153267122,0.042683096868219,-0.135616218782173,0.0261350781049771,0.0670131375341385,0.273424440221715
