"","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y25-64_ED5-8","emp_FT","emp_PT","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y25-64_NaceA","emp_Y25-64_NaceB-E","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y25-64_NaceJ","emp_Y25-64_NaceK","emp_Y25-64_NaceM_N","emp_Y25-64_NaceO-Q","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","disp_income","training","earn_OC1_B-F","earn_OC2_B-F","earn_OC3_B-F","earn_OC4_B-F","earn_OC5_B-F","earn_OC7_B-F","earn_OC8_B-F","earn_OC9_B-F","earn_OC1_G-N","earn_OC2_G-N","earn_OC3_G-N","earn_OC4_G-N","earn_OC5_G-N","earn_OC7_G-N","earn_OC8_G-N","earn_OC9_G-N","earn_OC1_P-S","earn_OC2_P-S","earn_OC3_P-S","earn_OC4_P-S","earn_OC5_P-S","earn_OC7_P-S","earn_OC8_P-S","earn_OC9_P-S","expend_ED5-8","pop_Total","pop_Y0-14","pop_Y15-24","pop_Y25-64","pop_Y65-74","pop_YGE75","emp_Y15-24_ED0-2","emp_Y25-64_ED0-2","emp_Y15-24_ED3-4","emp_Y25-64_ED3-4","emp_Y25-64_ED5-8","emp_FT","emp_PT","emp_Y15-24","emp_Y25-64","emp_YGE65","emp_Y25-64_NaceA","emp_Y25-64_NaceB-E","emp_Y25-64_NaceF","emp_Y15-24_NaceG-I","emp_Y25-64_NaceG-I","emp_Y25-64_NaceJ","emp_Y25-64_NaceK","emp_Y25-64_NaceM_N","emp_Y25-64_NaceO-Q","emp_Y25-64_NaceR-U","unemp_Y15-24","unemp_YGE25","GDP","disp_income","training","earn_OC1_B-F","earn_OC2_B-F","earn_OC3_B-F","earn_OC4_B-F","earn_OC5_B-F","earn_OC7_B-F","earn_OC8_B-F","earn_OC9_B-F","earn_OC1_G-N","earn_OC2_G-N","earn_OC3_G-N","earn_OC4_G-N","earn_OC5_G-N","earn_OC7_G-N","earn_OC8_G-N","earn_OC9_G-N","earn_OC1_P-S","earn_OC2_P-S","earn_OC3_P-S","earn_OC4_P-S","earn_OC5_P-S","earn_OC7_P-S","earn_OC8_P-S","earn_OC9_P-S","expend_ED5-8"
"mismatch",-0.239454132666624,-0.209558506830197,-0.14086217512096,-0.181802413210303,0.273397522155952,0.234538991088101,0.132710109621619,0.374360312698315,-0.190996619221893,0.250787870894747,-0.300691014215514,0.243212770344318,-0.17966288099377,-0.118541649834962,0.207245499028539,0.0167030798920708,0.267846303431973,0.187816233494613,0.154798047125948,-0.262937151201835,0.143522134092866,-0.335272045028143,-0.31685428287275,-0.333593550194096,-0.099285859886161,-0.113626508256439,-0.0693324088546925,0.136930061858142,-0.412572651475146,-0.398588469757648,-0.303581903232293,-0.379959297357595,-0.270670154692814,-0.417379081214916,-0.417379081214916,-0.417379081214916,-0.280529585965284,-0.417379081214916,-0.417379081214916,-0.364991383814666,-0.280529585965284,-0.402411167671987,-0.417379081214916,-0.414161541416042,-0.280529585965284,-0.427951655066667,-0.40763805811555,-0.397065484263799,-0.417379081214916,-0.265561672422355,-0.417379081214916,-0.417379081214916,-0.402411167671987,-0.460738513303558,-0.402411167671987,-0.385186187801157,9.34799068676208e-05,0.000656376929500706,0.0228378947243031,0.00320237343494995,7.41749147843093e-06,0.000131098112818727,0.032097443427674,4.16804125081666e-10,0.00193902184595539,4.17037107356772e-05,7.43997795104064e-07,7.18306460730437e-05,0.00358725745121639,0.0557921200116256,0.000755151405526519,0.788260580057502,1.15010452182272e-05,0.00231245356635654,0.0122816593389863,1.68155971516097e-05,0.0203645236058504,2.82405531586723e-08,1.69750507404307e-07,3.34206431952993e-08,0.109538804572023,0.0668291099040184,0.264393642535376,0.0269677743299221,3.78064398192456e-12,2.26741145855052e-11,5.74905042043812e-07,2.1720636526286e-10,9.21224415027071e-06,2.00315958444002e-12,2.00315958444002e-12,2.00315958444002e-12,4.16240047345752e-06,2.00315958444002e-12,2.00315958444002e-12,1.20682712069671e-09,4.16240047345752e-06,1.40105781044951e-11,2.00315958444002e-12,3.0680477459707e-12,4.16240047345752e-06,4.7784078904645e-13,7.18177160588433e-12,2.74211075199378e-11,2.00315958444002e-12,1.37378035667569e-05,2.00315958444002e-12,2.00315958444002e-12,1.40105781044951e-11,4.03278186740743e-15,1.40105781044951e-11,1.16875935398671e-10
"lmktm_OC0",-0.101081309739533,0.746514776600001,0.731907912316774,-0.51553638646684,-0.0977710234685358,-0.532051639829795,0.292884772615268,-0.688340565411321,0.733361228582247,0.131154265616766,0.751208871066251,0.413984762830881,0.651592770004045,0.840885068817457,0.677577612781575,0.755578111492282,-0.424061653565756,-0.108758392267361,0.533405706101619,0.818301362394339,0.0370824418335797,0.606410824029932,0.512303295332529,0.501562637044186,0.754075976934848,-0.220902819352037,-0.382465687214785,-0.641046885326495,0.0985531368172579,0.149520491123388,0.772961736640721,-0.845544706696394,0.783962481740601,0.630583531944338,-0.29776274313831,-0.277411623726782,0.630583531944338,-0.845544706696394,-0.29776274313831,-0.808603059890828,0.641760158675415,-0.29776274313831,-0.29776274313831,-0.845544706696394,0.783962481740601,0.236180518182517,-0.845544706696394,-0.260821096332744,-0.260821096332744,-0.229338048742985,-0.29776274313831,-0.29776274313831,0.846614739364889,0.687237866986219,-0.29776274313831,0.960559698623818,0.103237668770673,9.85590787414875e-48,4.79427184568038e-45,4.00677570204471e-19,0.115086864663044,1.77148552461068e-20,1.4720768484667e-06,5.53238026278474e-38,2.63838080111314e-45,0.0341879144305428,1.23230317335085e-48,3.14034508736574e-12,6.27176687066783e-33,5.15191027673561e-71,1.99266623397202e-36,1.70569926779177e-49,8.14378763280992e-13,0.0794617130562838,1.36135387656668e-20,3.11825279425789e-64,0.550898131626852,1.33600576214826e-27,7.23478496367745e-19,4.92806584807772e-18,3.38215940942248e-49,0.000322909590484672,1.61586794561687e-10,1.32184715546934e-31,0.112195559601175,0.0156237254035397,4.23637387005029e-53,1.5141448718953e-72,1.49801946025415e-55,2.42338687365087e-30,9.63307828171457e-07,5.36906365712483e-06,2.42338687365087e-30,1.5141448718953e-72,9.63307828171457e-07,1.32676075650721e-61,1.07964035751341e-31,9.63307828171457e-07,9.63307828171457e-07,1.5141448718953e-72,1.49801946025415e-55,0.000117188784161191,1.5141448718953e-72,1.97617742848566e-05,1.97617742848566e-05,0.000186067399498787,9.63307828171457e-07,9.63307828171457e-07,6.62583331133425e-73,8.04435475416329e-38,9.63307828171457e-07,5.61934367507901e-146
"lmktm_OC1",-0.0846294489793221,0.588367667580218,0.311222327676864,-0.639186313241574,-0.0242754845993311,-0.0183064998386246,0.126438003354894,0.199285042290497,0.275539368897633,-0.241842290395211,0.417560060062039,-0.148816469519161,0.476184632100549,0.392632479204398,0.201691457317899,0.27709539776356,-0.303399659130776,-0.335481401147626,0.172229232887438,0.505917434346676,-0.0662261547932265,0.314109398177984,0.40077800936874,0.296958945004799,0.633221630451866,0.21430072444619,0.0564158867227595,-0.189330219511965,0.194723966646761,0.317332057363373,0.651212728897987,-0.0704026381759838,0.475209682556535,0.385808320567849,0.266747613778461,0.41919712181547,0.4252617917323,0.206161666280271,0.404840628256823,0.0614173262467743,0.449665200871263,0.284521516431182,0.283214995309091,0.333696978101146,0.432654577915676,0.485601183885806,0.35264261772232,0.0734750211795091,0.0397037252102242,0.359831733946365,0.183542383935207,0.416498566726829,0.690170351674846,0.683165299368349,0.169797911732906,0.690681473720328,0.17284637068469,1.05747712543822e-25,2.86938908381377e-07,2.23554393822551e-31,0.696272157617446,0.768486140865019,0.0412446324542396,0.00120953918025251,6.24654185563739e-06,7.91108949141837e-05,1.9554323062066e-12,0.0161248814745902,3.53910815702221e-16,4.74236325357039e-11,0.00105094106333987,5.50853541515442e-06,5.84374050317806e-07,2.76515603910498e-08,0.0052712710460813,2.28228797191861e-18,0.28644557281824,2.19538582311914e-07,1.72228508452641e-11,1.03358491034664e-06,1.17621920938053e-30,0.000490110768801076,0.363997093856794,0.00212720344015987,0.00157187885649938,1.62275816497682e-07,7.01471567504695e-33,0.257072777723947,4.1417133885511e-16,1.0848546723897e-10,1.25297222877614e-05,1.57117630267462e-12,6.91365239127075e-13,0.000806006032352244,1.02846209150163e-11,0.322957705905196,2.14293041360914e-14,2.9911097886214e-06,3.33462154554812e-06,3.30765726206101e-08,2.48520486721548e-13,7.55161738595068e-17,4.65462310656923e-09,0.236837960387972,0.523079025053035,2.13620622326897e-09,0.0029173918093728,2.25205583485517e-12,2.96159922049927e-38,3.16024370599758e-37,0.00595953276281436,2.4851818462002e-38
"lmktm_OC2",-0.0792959703038294,0.569364029304607,0.345550184606083,-0.655455923214059,0.0549490081694645,-0.00601754261658978,0.225189394212737,0.210674141519546,0.413493675400763,-0.263566837370898,0.539384382213587,-0.108152648620233,0.610010095646127,0.52054637348477,0.334339357433982,0.448394124602183,-0.341447489028052,-0.350761412055717,0.226133175156658,0.635145525245546,-0.0184206639166205,0.409708924183905,0.434666931383208,0.432431666769736,0.704862981080469,0.253047790229426,0.0480713264795678,-0.327506615863079,0.252496528364064,0.335959377368381,0.702974764059633,-0.0661079481878263,0.484293741928729,0.41040760306077,0.263389605362974,0.427635391361794,0.441657923858525,0.17803094851427,0.35508051253729,0.054765566133612,0.443416071477426,0.277765687266844,0.28295593830007,0.261829481364987,0.469915843200217,0.442869256180361,0.273108217144664,0.0804447848037334,0.153083662001326,0.318523940238201,0.20019833000388,0.362519940788434,0.703213891415337,0.772437976737202,0.193870658451507,0.719057812011091,0.20162756559421,7.93561857569165e-24,9.84855664453141e-09,1.99148786446364e-33,0.376623011793505,0.922924433981348,0.000244641676225353,0.00061313488941182,3.35001133431191e-12,1.60225809092438e-05,4.19575149999984e-21,0.0811604978102416,5.40112453658962e-28,1.58375009190355e-19,3.10148534163787e-08,2.5858703415732e-14,1.50656434762571e-08,5.68860480819804e-09,0.000229974971081989,6.91232060857513e-31,0.767083722019055,5.49341021068765e-12,1.87294844871771e-13,2.56400590152212e-13,1.64798069686582e-40,3.53408058158294e-05,0.439323788513267,6.10387972468224e-08,3.68024232256778e-05,2.63509206300912e-08,3.26923801876274e-40,0.287308450718635,9.38475061631822e-17,5.01640794651679e-12,1.62421249587926e-05,4.9913628558212e-13,6.90912332159617e-14,0.00390843549162716,3.58202889542391e-09,0.378220639609216,5.35711342730306e-14,5.21689335662781e-06,3.4070609663262e-06,1.83015826409864e-05,9.64259747144395e-16,5.79914690594234e-14,7.59080264681962e-06,0.195152012182634,0.0132907518284175,1.44982722767026e-07,0.00114692497045796,1.58849418547432e-09,2.99848057020614e-40,5.49873204926679e-53,0.00164981199944635,7.99061638650036e-43
"lmktm_OC3",-0.071191020909185,0.529848577916379,0.288046843014193,-0.710215815897649,0.0944043096187896,0.0960976833225008,0.189426596688077,0.230108688728364,0.311066432698635,-0.209877409701695,0.395020450882866,-0.154896287581799,0.53343106749786,0.408366604261754,0.2688972433973,0.346016559271775,-0.290388239891267,-0.325259799898932,0.158068001823318,0.51598453122452,-0.0905995711105112,0.336013090021991,0.343710279476755,0.345614723461191,0.667333497166551,0.238444207120012,0.0802810323876469,-0.21679375175265,0.248988371901045,0.348372308711958,0.679528618120893,0.0861524184557771,0.496307489524029,0.45513758887381,0.370757272048249,0.564357908644968,0.517549946927219,0.322532628981228,0.517890762461838,0.181570502620789,0.490069645563304,0.39507295710857,0.387647900596838,0.446792741039734,0.499794689436977,0.538027622483149,0.455520493073848,0.216792556260227,0.108445039388832,0.416209679571804,0.310730351265842,0.525387677670629,0.707532781777938,0.736197132068696,0.330587988921442,0.659444894221191,0.251770154378251,2.71217801153582e-20,2.22456318897262e-06,2.29416980317792e-41,0.128202857234878,0.121468300516435,0.00211588187993471,0.000176747336010102,2.91093919115723e-07,0.000643736947705564,3.5340868747827e-11,0.0122259354864688,1.35464052833443e-20,6.53696609096584e-12,1.05924721582242e-05,9.38030971226106e-09,1.82337427191967e-06,7.59852176019085e-08,0.0105425193916018,3.68983637571752e-19,0.144383846017392,2.62085049365572e-08,1.19260227843786e-08,9.78243747205519e-09,5.25490654581147e-35,0.00010026509522302,0.196065658533223,0.000419273975600824,4.75276539705872e-05,7.32531290197567e-09,1.05250051299696e-36,0.165217525343071,1.22970330299995e-17,9.45798212797164e-15,6.29868010601709e-10,2.36410565062487e-23,2.76427400594468e-19,9.88911363588935e-08,2.59530301520235e-19,0.00324220431548394,3.56784369651052e-17,3.51121542722578e-11,8.69575034093101e-11,3.27286315029757e-14,6.71492651584902e-18,5.49163752381668e-21,8.92700195526652e-15,0.000419305540031061,0.0803368753396502,2.34010133956884e-12,3.00248750182152e-07,6.36462185578211e-20,6.19824236092331e-41,8.13305409281918e-46,4.50706952821256e-08,5.98426795940701e-34
"lmktm_OC4",-0.0696668222524994,0.552347196608324,0.28764302587268,-0.687311781353622,0.0574522576890213,0.0753944333444323,0.203955840828153,0.223294183074677,0.29372399837593,-0.233198693813919,0.445794414287133,-0.149843046350722,0.522539134012726,0.400321457829259,0.264174697307683,0.321712133909015,-0.284651856281261,-0.33273360114279,0.142710311856344,0.513572430114993,-0.0752105381831113,0.334593988192013,0.326968124343039,0.336168929912397,0.674459265879381,0.241352314394261,0.105996593192467,-0.182211751963213,0.237648294348727,0.322831770020986,0.692640057314015,0.0367656927054344,0.508386955820619,0.44811718745936,0.346758776697239,0.507819473317098,0.511262542980353,0.315557197030779,0.494649888940329,0.162920115065101,0.484181887883404,0.36875764022909,0.363836682462976,0.43680106534054,0.509778973049173,0.562930518781309,0.448658180702147,0.150682223690302,0.0608222056918731,0.388258365888295,0.269493703150765,0.499014247889346,0.720817890986147,0.724272715552777,0.290920156679966,0.67399681360513,0.262090910462673,3.01234317660616e-22,2.30177343559688e-06,7.84541806802712e-38,0.355237296433968,0.224779632436311,0.000919400184195129,0.000276765212580005,1.36926544246073e-06,0.000143586638144145,3.78830901189049e-14,0.0153987028254506,1.09015345561708e-19,1.82422826648075e-11,1.52907716358272e-05,1.0699506708562e-07,2.95875596226087e-06,3.64181942504508e-08,0.0210935226006213,5.74131929097288e-19,0.225915662423397,3.0232404342653e-08,6.43389839690212e-08,2.57994954650778e-08,5.47134195397572e-36,8.18779893930689e-05,0.0874461942314499,0.00313314949864304,0.000105935251990023,9.60861689224154e-08,1.26478219171182e-38,0.554308078738591,1.46777506242764e-18,2.69364370619919e-14,8.67915831295505e-09,1.62499198148423e-18,8.73892273513757e-19,1.91749522357596e-07,1.63550607350343e-17,0.00836271798691462,9.56045695520127e-17,7.90348529187e-10,1.37255431435844e-09,1.38473064926412e-13,1.1426395463719e-18,3.21643517375086e-23,2.48704238598291e-14,0.0148265093043897,0.327677377530368,8.07785473368953e-11,1.01075660587477e-05,7.69321831182579e-18,4.0330482094664e-43,1.03769957754087e-43,1.74239532698862e-06,6.34876987532154e-36
"lmktm_OC5",-0.101437264763312,0.463500136834182,0.221058161904345,-0.665431637657656,0.0920054484960728,0.148926661018234,0.113818269367692,0.275796135542402,0.180662949304388,-0.213747395601327,0.331904814144119,-0.304252663841523,0.512710942781288,0.288161356891533,0.179476713038349,0.135628409840321,-0.267210565890738,-0.331172578296291,0.142066519266352,0.365472479502729,-0.118372531036159,0.245501416777763,0.319862175212273,0.331082102960157,0.548553679679679,0.22880997986127,0.097874624026307,-0.191770644350736,0.327156235386771,0.427898055651884,0.627189956637587,0.325998271285059,0.467404895014444,0.515623107293247,0.497358318232867,0.751963961527057,0.588993916648018,0.481454296842118,0.657993664116025,0.327896367440208,0.519986983327184,0.504359769805797,0.498694224819173,0.587845204047903,0.524560276101645,0.641684819542281,0.612057478745224,0.452154426393084,0.29346475946841,0.54677077280949,0.476556613361201,0.657042049656413,0.709718411768415,0.72677487583591,0.486963805800845,0.590857578173362,0.102023159630607,2.63369894120006e-15,0.000319707049851701,9.51066339328421e-35,0.13823257597165,0.0160455264000041,0.0663672754578838,6.11860237240372e-06,0.00340242832020057,0.000507268779665294,3.95514102037613e-08,5.41304561442861e-07,6.71766325808269e-19,2.20312203233105e-06,0.00362265032996447,0.0284692030313045,1.20860590551096e-05,4.25345275435058e-08,0.0216876017148514,1.14365671752596e-09,0.0561450842369872,6.10594638315753e-05,1.27677912978176e-07,4.29178408586667e-08,6.58887548103979e-22,0.000192716868737415,0.114700561151357,0.0018568921602441,6.31670628572201e-08,4.81386393328711e-13,6.07912408200578e-30,7.07211759811352e-08,1.43241489897502e-15,3.94342696491867e-19,1.02550161924178e-17,8.78169843558339e-49,9.12766108436968e-26,1.49974033542968e-16,9.28753123291472e-34,5.8752540313833e-08,1.75803063510206e-19,3.00951713590176e-18,8.13364130563855e-18,1.19532149854666e-25,7.44535315924206e-20,1.10299799038044e-31,3.20994471382839e-28,1.47986443645549e-14,1.40026782058137e-06,9.48588011285645e-22,3.33259581339572e-16,1.23736963506801e-33,2.76069673400525e-41,3.83217135682612e-44,6.01511395024304e-17,5.87951747146824e-26
"lmktm_OC6",0.259467191107141,-0.477615889982148,-0.425603834079671,-0.174457853021889,-0.108031951634344,0.665139660295365,-0.290371075856987,0.788304352451439,-0.557955090874339,-0.550368067692317,-0.511601652840332,-0.682554892558496,-0.00830323767344318,-0.686189698746938,-0.614295808827463,-0.426113946721295,0.00440983194450683,-0.30740900517549,-0.587439855708872,-0.538110403028371,-0.14075964817837,-0.389626532439044,-0.0818713754326623,0.00907380015591007,-0.506138050561703,0.457635138298073,0.389159589547583,0.459307122177734,-0.1227980152753,0.0584854056596326,-0.495482234943563,0.649085236398545,-0.33642254509203,-0.00725533996713866,-0.00725533996713866,0.274207543338195,-0.0188860376243838,-0.0188860376243838,-0.0188860376243838,-0.0417782044418188,-0.0417782044418188,0.274207543338195,-0.00725533996713866,-0.0188860376243838,-0.313530378274595,-0.313530378274595,-0.0188860376243838,0.626488452378755,0.702254139974523,-0.0527442908043643,-0.00725533996713866,-0.0188860376243838,-0.174626617682353,0.274207543338195,0.274207543338195,-0.680691195746488,2.1896403465826e-05,2.80706745993577e-16,6.59761358589405e-13,0.00470401620787837,0.081502464707248,1.04135185288013e-34,1.82604628265948e-06,1.47241287089975e-56,9.2988016944309e-23,4.53709266799452e-22,8.21788414734282e-19,3.87214371119866e-37,0.89379690153883,1.14646592086402e-37,1.80943478373966e-28,6.15231528006233e-13,0.943476226491254,4.06901228338757e-07,1.31432832356189e-25,5.40237816776351e-21,0.0229382106401025,6.84405810063456e-11,0.18732345807261,0.884007348685465,2.19435529731648e-18,6.47976841049883e-15,7.24299059617962e-11,5.0217857935278e-15,0.0474963487043568,0.346637577139632,1.41757253340489e-17,1.30890192158786e-32,2.51470029724196e-08,0.907135408490934,0.907135408490934,6.95202794024255e-06,0.761374848291718,0.761374848291718,0.761374848291718,0.501582826362402,0.501582826362402,6.95202794024255e-06,0.907135408490934,0.761374848291718,2.31702243103695e-07,2.31702243103695e-07,0.761374848291718,7.3416535943069e-30,4.23999014997793e-40,0.396097810293883,0.907135408490934,0.761374848291718,0.00466338475524578,6.95202794024255e-06,6.95202794024255e-06,7.17812987537103e-37
"lmktm_OC7",-0.0751802871961339,-0.185004900219791,-0.168007954772305,-0.17184021952381,0.119304345343921,0.442132125911283,0.453122378641419,0.0782953403880001,0.0514555199135515,0.104955526443931,0.0809908732432755,-0.242384883462404,0.494360113963225,0.167351005638051,0.209296809867701,-0.0986169190657467,-0.310962048239412,-0.00643319751798462,0.0132998008874296,0.0868551718550188,0.144955745560103,0.128846233133632,0.257571195784573,0.281792996924123,0.184742381418643,0.169128907268683,-0.133759551671802,-0.128510873390247,0.495197541675327,0.590567732776664,0.0785085087622893,0.730919976101851,0.60710436141229,0.708526752992915,0.77939584335768,0.468473098590817,0.706421293169112,0.789520743552735,0.684656320383027,0.811381185750626,0.67453422996949,0.754765771444175,0.780407007660137,0.705147341125554,0.60639398686423,0.643384791004112,0.719957418589229,0.758376157694937,0.581247549105154,0.802271556069288,0.803506499105873,0.68565823593058,0.360591541558498,0.348415070907394,0.744226153691381,0.22680099277437,0.226102930340333,0.00269587265862302,0.00651658160688644,0.00537635816843933,0.0542230704265095,6.45184688510395e-14,1.28039730155893e-14,0.207393581973778,0.407756668726028,0.0906180773990029,0.19212758668653,7.61493054559278e-05,1.71883639586033e-17,0.00673242899261294,0.000666920491578674,0.111962304827182,2.93908260014347e-07,0.917618766809721,0.830669493936397,0.161783462845191,0.0191304439493105,0.0375014999338286,2.52549082755489e-05,3.75114173525419e-06,0.00273447335720384,0.00616253404972067,0.0307497426763778,0.0380048711529693,1.48869997971703e-17,6.29695865633062e-26,0.206155361276607,7.17928635114961e-45,1.12307481641924e-27,4.29469026080354e-41,1.62298758031005e-54,1.2109391236915e-15,9.32508763298427e-41,7.61236454004087e-57,1.91996258168099e-37,2.42840684599253e-62,5.3408667580017e-36,2.47139374352273e-49,9.62342188290698e-55,1.48575044963203e-40,1.3416416383244e-27,6.7950373541581e-32,5.63754768985194e-43,4.70266725881969e-50,5.5114786480709e-25,5.74523032988867e-60,2.78488512742814e-60,1.37129653111967e-37,1.96516875927868e-09,7.2923680814225e-09,2.67157351909843e-47,0.000220097062668315
"lmktm_OC8",-0.0181534484671535,-0.0791208931583937,0.07639552554286,-0.286051506232146,0.181206985985362,0.301297758160212,0.690129067145567,-0.12231559369117,0.599877307465817,0.249592224262475,0.332614690885638,-0.0255536790320011,0.853773578069573,0.720183608763394,0.564410409255322,0.394379903781533,-0.471784206892886,0.0232062923132424,0.330883343176514,0.6452105251116,0.273830742955365,0.389529914817362,0.504481410470559,0.509524122700284,0.448045580334991,0.161547078898926,-0.351110365777635,-0.567618493802752,0.560469115851616,0.724758344157928,0.290133046698498,0.443891197935903,0.708261070854509,0.771520867253783,0.706396268390622,0.254308579092853,0.687493172561239,0.529196468978719,0.47405157122124,0.562804633815199,0.737389780895702,0.604670228205515,0.707628524909097,0.395346417740417,0.620019871097956,0.473411742674483,0.402668553207206,0.507527608861885,0.547471636868689,0.689332549586712,0.658586447078896,0.477549300610178,0.417573961398247,0.524745713439861,0.536359427587534,0.522924203060892,0.770367442305848,0.20262794916957,0.218666446233297,2.63171818870759e-06,0.00330554231959253,7.04969532995261e-07,3.00380449430837e-38,0.0483814917655916,6.71643635569024e-27,4.54928216732357e-05,3.68525539096731e-08,0.681132739910274,2.22382555078084e-75,5.16306094168418e-43,2.33741947601351e-23,3.82504545305834e-11,7.16781599584718e-16,0.709029456733015,4.37716456308096e-08,4.02492223262339e-32,7.16498420211596e-06,6.92480989372885e-11,2.94535753405608e-18,1.19634496180719e-18,2.7222175441293e-14,0.00893473471615525,5.48136118702501e-09,1.1635925524221e-23,5.45043185250378e-23,8.5601140808891e-44,1.86348927104945e-06,4.99990457310354e-14,4.73791401967328e-41,8.66699326923209e-53,9.4110288315286e-41,3.22012939402936e-05,7.37758109765973e-38,3.07478142438318e-20,4.98899535009698e-16,3.30472908067396e-23,4.93559088834779e-46,2.0617213555115e-27,5.98342381464056e-41,3.39440588503704e-11,4.09033766617798e-29,5.52764973201852e-16,1.35607197788104e-11,1.71217293317254e-18,8.22196130120467e-22,3.94489320514275e-38,7.76346629758646e-34,2.83756368484102e-16,1.9518124921981e-12,7.18846331096713e-20,7.63316555649803e-21,1.01396307550684e-19
