"var","module","VS","p.VS"
"training","brown",0.59516480839843,0
"emp_TP","turquoise",0.573892106509967,0
"emp_Y15-24","turquoise",0.481952255597964,0
"emp_YGE65","turquoise",0.460596655000333,0
"emp_Y25-64_ED3-4","yellow",0.456348645835559,0
"emp_Y25-64","turquoise",0.45461634526798,0
"unemp_YGE25","turquoise",0.442747435680583,0
"unemp_Y15-24","red",0.442122327012062,0
"emp_Y25-64_NaceM_N","blue",0.433741326207223,0
"pop_Y25-64","brown",0.420023843041736,0
"emp_Y25-64_NaceA","green",0.414237024683564,0
"emp_TF","red",0.406484946047616,0
"emp_Y25-64_ED0-2","red",0.397377492637957,0
"emp_Y15-24_ED0-2","pink",0.390654811748016,0
"emp_Y15-24_ED3-4","pink",0.377507664832122,0
"emp_Y25-64_NaceK","blue",0.376100451295428,0
"emp_Y25-64_NaceR-U","yellow",0.374419177986862,0
"emp_Y25-64_NaceO-Q","brown",0.365875530478483,0
"emp_Y25-64_NaceB-E","yellow",0.363279465238666,0
"emp_Y25-64_NaceJ","blue",0.360917103328309,0
"pop_Y0-14","magenta",0.359581001714699,0
"pop_YGE75","black",0.358771401147528,0
"pop_Y15-24","magenta",0.351705361612288,0
"emp_Y25-64_ED5-8","blue",0.341891954884444,0
"emp_Y25-64_NaceG-I","brown",0.336964862279505,0
"emp_Y15-24_NaceG-I","yellow",0.312512332005569,0
"pop_Y65-74","black",0.285275872084943,1.11022302462516e-16
"emp_Y25-64_NaceF","grey",0.277905015610416,2.55351295663786e-15
"pop_Total","grey",0,1
"GDP","green",0,1
"disp_income","green",0,1
