"var","module","VS","p.VS"
"expend_ED5-8","brown",0.690681473720328,2.4851818462002e-38
"earn_OC7_P-S","brown",0.690170351674846,2.96159922049927e-38
"earn_OC8_P-S","brown",0.683165299368349,3.16024370599758e-37
"training","grey",0.651212728897987,7.01471567504695e-33
"emp_Y25-64_NaceO-Q","brown",0.633221630451866,1.17621920938053e-30
"pop_Y0-14","grey",0.588367667580218,1.05747712543822e-25
"emp_Y15-24_NaceG-I","yellow",0.505917434346676,2.28228797191861e-18
"earn_OC8_G-N","blue",0.485601183885806,7.55161738595068e-17
"emp_PT","grey",0.476184632100549,3.53910815702221e-16
"earn_OC2_B-F","black",0.475209682556535,4.1417133885511e-16
"earn_OC2_G-N","black",0.449665200871263,2.14293041360914e-14
"earn_OC7_G-N","black",0.432654577915676,2.48520486721548e-13
"earn_OC7_B-F","black",0.4252617917323,6.91365239127075e-13
"earn_OC5_B-F","brown",0.41919712181547,1.57117630267462e-12
"emp_Y25-64_ED5-8","grey",0.417560060062039,1.9554323062066e-12
"earn_OC5_P-S","blue",0.416498566726829,2.25205583485517e-12
"earn_OC9_B-F","blue",0.404840628256823,1.02846209150163e-11
"emp_Y25-64_NaceK","grey",0.40077800936874,1.72228508452641e-11
"emp_Y15-24","yellow",0.392632479204398,4.74236325357039e-11
"earn_OC3_B-F","black",0.385808320567849,1.0848546723897e-10
"earn_OC3_P-S","black",0.359831733946365,2.13620622326897e-09
"earn_OC9_G-N","blue",0.35264261772232,4.65462310656923e-09
"earn_OC5_G-N","blue",0.333696978101146,3.30765726206101e-08
"disp_income","grey",0.317332057363373,1.62275816497682e-07
"emp_Y25-64_NaceJ","grey",0.314109398177984,2.19538582311914e-07
"pop_Y15-24","grey",0.311222327676864,2.86938908381377e-07
"emp_Y25-64_NaceM_N","grey",0.296958945004799,1.03358491034664e-06
"earn_OC3_G-N","black",0.284521516431182,2.9911097886214e-06
"earn_OC4_G-N","black",0.283214995309091,3.33462154554812e-06
"emp_YGE65","grey",0.27709539776356,5.50853541515442e-06
"emp_Y15-24_ED3-4","yellow",0.275539368897633,6.24654185563739e-06
"earn_OC4_B-F","black",0.266747613778461,1.25297222877614e-05
"emp_Y25-64_NaceR-U","grey",0.21430072444619,0.000490110768801076
"earn_OC8_B-F","black",0.206161666280271,0.000806006032352244
"emp_Y25-64","yellow",0.201691457317899,0.00105094106333987
"emp_Y25-64_ED0-2","grey",0.199285042290497,0.00120953918025251
"GDP","grey",0.194723966646761,0.00157187885649938
"earn_OC4_P-S","black",0.183542383935207,0.0029173918093728
"emp_Y25-64_NaceF","grey",0.172229232887438,0.0052712710460813
"earn_OC9_P-S","black",0.169797911732906,0.00595953276281436
"emp_Y15-24_ED0-2","grey",0.126438003354894,0.0412446324542396
"earn_OC1_P-S","green",0.0734750211795091,0.236837960387972
"earn_OC1_G-N","black",0.0614173262467743,0.322957705905196
"unemp_Y15-24","grey",0.0564158867227595,0.363997093856794
"earn_OC2_P-S","green",0.0397037252102242,0.523079025053035
"pop_YGE75","grey",-0.0183064998386246,0.768486140865019
"pop_Y65-74","grey",-0.0242754845993311,0.696272157617446
"emp_Y25-64_NaceG-I","grey",-0.0662261547932265,0.28644557281824
"earn_OC1_B-F","green",-0.0704026381759838,0.257072777723947
"pop_Total","grey",-0.0846294489793221,0.17284637068469
"emp_FT","grey",-0.148816469519161,0.0161248814745902
"unemp_YGE25","grey",-0.189330219511965,0.00212720344015987
"emp_Y25-64_ED3-4","grey",-0.241842290395211,7.91108949141837e-05
"emp_Y25-64_NaceA","grey",-0.303399659130776,5.84374050317806e-07
"emp_Y25-64_NaceB-E","grey",-0.335481401147626,2.76515603910498e-08
"pop_Y25-64","grey",-0.639186313241574,2.23554393822551e-31
