"var","module","VS","p.VS"
"emp_Y25-64_ED0-2","grey",0.374360312698315,4.16804125081666e-10
"pop_Y65-74","grey",0.273397522155952,7.41749147843093e-06
"emp_Y25-64_NaceA","grey",0.267846303431973,1.15010452182272e-05
"emp_Y25-64_ED3-4","grey",0.250787870894747,4.17037107356772e-05
"emp_FT","grey",0.243212770344318,7.18306460730437e-05
"pop_YGE75","grey",0.234538991088101,0.000131098112818727
"emp_Y25-64","yellow",0.207245499028539,0.000755151405526519
"emp_Y25-64_NaceB-E","grey",0.187816233494613,0.00231245356635654
"emp_Y25-64_NaceF","grey",0.154798047125948,0.0122816593389863
"emp_Y25-64_NaceG-I","grey",0.143522134092866,0.0203645236058504
"unemp_YGE25","grey",0.136930061858142,0.0269677743299221
"emp_Y15-24_ED0-2","grey",0.132710109621619,0.032097443427674
"emp_YGE65","grey",0.0167030798920708,0.788260580057502
"unemp_Y15-24","grey",-0.0693324088546925,0.264393642535376
"emp_Y25-64_NaceO-Q","brown",-0.099285859886161,0.109538804572023
"emp_Y25-64_NaceR-U","grey",-0.113626508256439,0.0668291099040184
"emp_Y15-24","yellow",-0.118541649834962,0.0557921200116256
"pop_Y15-24","grey",-0.14086217512096,0.0228378947243031
"emp_PT","grey",-0.17966288099377,0.00358725745121639
"pop_Y25-64","grey",-0.181802413210303,0.00320237343494995
"emp_Y15-24_ED3-4","yellow",-0.190996619221893,0.00193902184595539
"pop_Y0-14","grey",-0.209558506830197,0.000656376929500706
"pop_Total","grey",-0.239454132666624,9.34799068676208e-05
"emp_Y15-24_NaceG-I","yellow",-0.262937151201835,1.68155971516097e-05
"earn_OC3_P-S","black",-0.265561672422355,1.37378035667569e-05
"earn_OC2_B-F","black",-0.270670154692814,9.21224415027071e-06
"earn_OC7_B-F","black",-0.280529585965284,4.16240047345752e-06
"earn_OC2_G-N","black",-0.280529585965284,4.16240047345752e-06
"earn_OC7_G-N","black",-0.280529585965284,4.16240047345752e-06
"emp_Y25-64_ED5-8","grey",-0.300691014215514,7.43997795104064e-07
"training","grey",-0.303581903232293,5.74905042043812e-07
"emp_Y25-64_NaceK","grey",-0.31685428287275,1.69750507404307e-07
"emp_Y25-64_NaceM_N","grey",-0.333593550194096,3.34206431952993e-08
"emp_Y25-64_NaceJ","grey",-0.335272045028143,2.82405531586723e-08
"earn_OC1_G-N","black",-0.364991383814666,1.20682712069671e-09
"earn_OC1_B-F","green",-0.379959297357595,2.1720636526286e-10
"expend_ED5-8","brown",-0.385186187801157,1.16875935398671e-10
"earn_OC1_P-S","green",-0.397065484263799,2.74211075199378e-11
"disp_income","grey",-0.398588469757648,2.26741145855052e-11
"earn_OC3_G-N","black",-0.402411167671987,1.40105781044951e-11
"earn_OC7_P-S","brown",-0.402411167671987,1.40105781044951e-11
"earn_OC9_P-S","black",-0.402411167671987,1.40105781044951e-11
"earn_OC9_G-N","blue",-0.40763805811555,7.18177160588433e-12
"GDP","grey",-0.412572651475146,3.78064398192456e-12
"earn_OC5_G-N","blue",-0.414161541416042,3.0680477459707e-12
"earn_OC3_B-F","black",-0.417379081214916,2.00315958444002e-12
"earn_OC4_B-F","black",-0.417379081214916,2.00315958444002e-12
"earn_OC5_B-F","brown",-0.417379081214916,2.00315958444002e-12
"earn_OC8_B-F","black",-0.417379081214916,2.00315958444002e-12
"earn_OC9_B-F","blue",-0.417379081214916,2.00315958444002e-12
"earn_OC4_G-N","black",-0.417379081214916,2.00315958444002e-12
"earn_OC2_P-S","green",-0.417379081214916,2.00315958444002e-12
"earn_OC4_P-S","black",-0.417379081214916,2.00315958444002e-12
"earn_OC5_P-S","blue",-0.417379081214916,2.00315958444002e-12
"earn_OC8_G-N","blue",-0.427951655066667,4.7784078904645e-13
"earn_OC8_P-S","brown",-0.460738513303558,4.03278186740743e-15
